koi_fpflag_co,koi_time0,koi_impact,koi_duration,koi_depth,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff2,koi_model_snr,koi_count,koi_tce_plnt_num,koi_smet,ra,dec,koi_fwm_sdec,koi_fwm_srao,koi_fittype_ls,koi_fittype_lsmcmc,koi_fittype_mcmc,koi_disposition
0.0,2455004.821,0.377,3.49949,44791.0,2.67897,17.61,0.081,89.06,796.0,95.03,23.029,0.2865,1671.1,1.0,1.0,-0.4,294.74396,40.53392,40.533934,-0.1283,0.0,1.0,0.0,1
0.0,2455006.276,1.276,2.1862,2453.9,0.19337,31.44,0.0482,76.4,1133.0,388.71,5.42,0.2965,117.2,1.0,1.0,-0.38,295.50439,40.505489,40.505539,0.1,0.0,1.0,0.0,1
1.0,2455004.584,1.178,3.0918,1268.1,0.03902,17.06,0.0308,58.76,1010.0,244.87,2.27,0.1196,50.5,1.0,1.0,-0.22,299.64285,40.691238,40.688998,20.59,0.0,1.0,0.0,1
0.0,2455006.011,1.259,2.2757,6044.3,0.4563,38.33,0.0571,81.27,1114.0,364.23,8.29,0.2889,269.7,1.0,1.0,-0.1,292.21436,40.759762,40.7597138,-0.14,0.0,1.0,0.0,1
1.0,2455005.003,1.266,2.9381,4357.2,0.12553,26.82,0.0371,71.8,954.0,196.31,4.05,0.1731,122.1,1.0,1.0,-0.36,284.86929,41.679192,41.684961,5.024,0.0,1.0,0.0,1
1.0,2455008.405,0.23,2.743,1159.8,4.32663,2.66,0.0857,89.55,667.0,46.94,29.22,0.1496,51.7,1.0,1.0,0.08,286.24356,42.148811,42.125175,30.19,0.0,1.0,0.0,1
0.0,2455006.823,0.211,3.11058,33004.0,2.48066,14.62,0.0591,89.27,901.0,155.89,16.497,0.2521,1630.4,1.0,1.0,-0.34,284.08731,42.233231,42.2331785,-0.0665,0.0,1.0,0.0,1
1.0,2455004.648,0.965,1.8832,1014.3,0.22208,4.37,0.0406,77.84,1355.0,797.1,4.58,0.3029,58.3,1.0,1.0,-0.04,291.67172,42.343109,42.341083,-0.17,0.0,1.0,0.0,1
0.0,2454970.914,0.95,2.517,218.5,0.52476,2.41,0.1437,87.6,742.0,71.57,22.7,0.2678,18.5,1.0,1.0,0.0,294.40192,50.172089,50.1722,-1.18,0.0,1.0,0.0,1
0.0,2455004.899,7.361,2.0488,20285.0,22.19119,588.66,0.0698,79.0,853.0,125.22,38.6,0.2396,192.3,1.0,1.0,-0.12,287.88412,42.832439,42.8324336,-0.009,0.0,1.0,0.0,1
1.0,2454969.457,1.223,5.0683,401.1,0.00762,63.66,0.0919,67.15,1399.0,904.92,3.15,0.303,76.8,1.0,1.0,-0.12,294.46088,38.383461,38.382674,0.36,0.0,1.0,0.0,1
0.0,2454970.754,0.836,1.1757,299.2,4.07984,1.78,0.046,86.81,992.0,229.37,15.04,0.1451,15.0,2.0,2.0,0.18,290.39322,43.363899,43.364,0.96,0.0,1.0,0.0,0
1.0,2455007.526,0.942,6.703,1590.7,0.02282,4.68,0.0789,77.16,878.0,140.57,4.238,0.2602,60.4,1.0,1.0,0.07,299.00143,43.399632,43.398745,-28.52,0.0,1.0,0.0,1
0.0,2455003.694,1.091,2.1958,24905.0,0.72779,21.58,0.0259,78.08,1109.0,357.16,5.28,0.2787,125.4,1.0,1.0,-1.24,295.83536,42.943062,42.9430398,-0.0721,0.0,1.0,0.0,1
0.0,2455002.974,0.908,0.9967,1823.5,1.32454,4.14,0.0175,77.28,1620.0,1635.2,4.12,0.2665,147.4,1.0,1.0,-0.54,297.97513,43.164909,43.164839,0.17,0.0,1.0,0.0,1
0.0,2455004.894,0.028,3.8636,12861.0,0.8699,10.95,0.0491,89.83,1101.0,347.06,9.6337,0.2521,85.8,1.0,1.0,-0.26,296.41019,43.455391,43.4553464,-0.103,0.0,1.0,0.0,1
1.0,2455005.697,0.949,3.2496,1692.9,0.13022,4.33,0.0613,81.1,950.0,192.74,6.137,0.2787,119.4,1.0,1.0,-0.34,296.50754,44.036072,44.03623,1.29,0.0,1.0,0.0,1
1.0,2455005.759,9.303,3.8449,4147.6,2.90473,540.37,0.1052,74.37,438.0,8.71,34.5,0.1171,54.5,1.0,1.0,-0.28,298.67862,44.175499,44.176401,-30.33,0.0,1.0,0.0,1
1.0,2455005.019,1.252,10.0134,1695.0,0.00688,24.54,0.0386,33.39,1076.0,317.36,1.5,0.2521,203.5,1.0,1.0,-0.36,293.68494,45.51683,45.51832,59.42,0.0,1.0,0.0,1
1.0,2455003.68,0.864,3.183,1030.9,0.19331,3.57,0.0493,80.68,1158.0,425.74,5.34,0.2844,90.1,1.0,1.0,0.07,296.39542,45.56992,45.5646,-19.68,0.0,1.0,0.0,1
